filename,homogeneity_d1_a0,homogeneity_d1_a45,homogeneity_d1_a90,homogeneity_d1_a135,homogeneity_d2_a0,homogeneity_d2_a45,homogeneity_d2_a90,homogeneity_d2_a135,energy_d1_a0,energy_d1_a45,energy_d1_a90,energy_d1_a135,energy_d2_a0,energy_d2_a45,energy_d2_a90,energy_d2_a135,correlation_d1_a0,correlation_d1_a45,correlation_d1_a90,correlation_d1_a135,correlation_d2_a0,correlation_d2_a45,correlation_d2_a90,correlation_d2_a135,entropy_d1_a0,entropy_d1_a45,entropy_d1_a90,entropy_d1_a135,entropy_d2_a0,entropy_d2_a45,entropy_d2_a90,entropy_d2_a135,name
Albert (1).jpg,0.986774114,0.986421973,0.989388533,0.980407961,0.973803323,0.986421973,0.979321677,0.980407961,0.64515578,0.645474022,0.647615593,0.638560771,0.631561219,0.645474022,0.63655768,0.638560771,0.968030212,0.966991119,0.974405826,0.952379388,0.936188188,0.966991119,0.949844523,0.952379388,1.102063404,1.101844735,1.081847691,1.147004019,1.190747846,1.101844735,1.155457589,1.147004019,Albert
Albert (10).jpg,0.89543233,0.868322874,0.899535208,0.873040242,0.842289959,0.868322874,0.846128784,0.873040242,0.311988183,0.297082424,0.313412338,0.299582816,0.284283924,0.297082424,0.285994001,0.299582816,0.955115764,0.936360396,0.962876946,0.944087457,0.903513641,0.936360396,0.926981936,0.944087457,2.660007613,2.778490573,2.623784175,2.75417402,2.900469211,2.778490573,2.85109143,2.75417402,Albert
Albert (11).jpg,0.89734071,0.869969553,0.905816857,0.874443549,0.840589705,0.869969553,0.850354545,0.874443549,0.329728386,0.313640722,0.334281799,0.316777913,0.297562945,0.313640722,0.303048605,0.316777913,0.95358545,0.93696398,0.963214488,0.942468878,0.902841715,0.93696398,0.928777692,0.942468878,2.577521314,2.696892022,2.523889416,2.668460446,2.825722943,2.696892022,2.761397866,2.668460446,Albert
Albert (12).jpg,0.900556898,0.874444643,0.91539124,0.877739964,0.844807771,0.874444643,0.864702965,0.877739964,0.345541051,0.329568222,0.354074749,0.331152274,0.312356512,0.329568222,0.323306269,0.331152274,0.950051055,0.932498915,0.96080322,0.936261576,0.900135615,0.932498915,0.925160538,0.936261576,2.481117046,2.591567253,2.402730247,2.573934421,2.726320012,2.591567253,2.624194671,2.573934421,Albert
Albert (13).jpg,0.907365042,0.884883444,0.915259155,0.891396388,0.866505377,0.884883444,0.870828352,0.891396388,0.468442219,0.457898313,0.473473234,0.460067384,0.443507494,0.457898313,0.44818384,0.460067384,0.911686279,0.877016822,0.923412035,0.893910493,0.851229664,0.877016822,0.863187873,0.893910493,2.095769975,2.1835677,2.051167738,2.156892908,2.267988522,2.1835677,2.233946619,2.156892908,Albert
Albert (14).jpg,0.904208651,0.885987199,0.912151127,0.882604574,0.859721128,0.885987199,0.866177983,0.882604574,0.448081876,0.438319433,0.448882045,0.435692912,0.422004574,0.438319433,0.422634025,0.435692912,0.935002306,0.910388128,0.937167066,0.909658803,0.889831641,0.910388128,0.885021816,0.909658803,2.151447795,2.230412454,2.12928165,2.242707364,2.330068955,2.230412454,2.317503987,2.242707364,Albert
Albert (15).jpg,0.900093164,0.880219772,0.925667731,0.887554976,0.858814776,0.880219772,0.888809651,0.887554976,0.461075939,0.452583691,0.476634313,0.45587865,0.439098677,0.452583691,0.455539872,0.45587865,0.917145282,0.896911306,0.948414502,0.904508939,0.854542066,0.896911306,0.910237818,0.904508939,2.171481884,2.246107452,2.039564067,2.216694613,2.333155693,2.246107452,2.19439323,2.216694613,Albert
Albert (16).jpg,0.8981742,0.877981994,0.901073428,0.881610531,0.858236272,0.877981994,0.860100424,0.881610531,0.397488967,0.388096334,0.39954807,0.389419729,0.377171293,0.388096334,0.37834038,0.389419729,0.954092934,0.939895719,0.957764294,0.94386479,0.91763677,0.939895719,0.929239524,0.94386479,2.35271759,2.429022444,2.327812114,2.416283265,2.522216321,2.429022444,2.486948086,2.416283265,Albert
Albert (17).jpg,0.893730822,0.871452281,0.911840334,0.875478418,0.839132472,0.871452281,0.863040557,0.875478418,0.327417995,0.314736914,0.338015557,0.315782232,0.296698,0.314736914,0.309484729,0.315782232,0.957894142,0.944274902,0.966893108,0.949385104,0.922209779,0.944274902,0.939146481,0.949385104,2.629719361,2.725830646,2.541746265,2.704879831,2.863756031,2.725830646,2.761644579,2.704879831,Albert
Albert (18).jpg,0.902767485,0.882146545,0.909535498,0.89367854,0.862003435,0.882146545,0.868031511,0.89367854,0.371863221,0.360428582,0.373850914,0.365099837,0.350250659,0.360428582,0.350554738,0.365099837,0.960995344,0.949200745,0.963540798,0.956129509,0.938348197,0.949200745,0.939681041,0.956129509,2.403640377,2.492491579,2.373431707,2.441463088,2.57074752,2.492491579,2.549883083,2.441463088,Albert
