filename,homogeneity_d1_a0,homogeneity_d1_a45,homogeneity_d1_a90,homogeneity_d1_a135,homogeneity_d2_a0,homogeneity_d2_a45,homogeneity_d2_a90,homogeneity_d2_a135,energy_d1_a0,energy_d1_a45,energy_d1_a90,energy_d1_a135,energy_d2_a0,energy_d2_a45,energy_d2_a90,energy_d2_a135,correlation_d1_a0,correlation_d1_a45,correlation_d1_a90,correlation_d1_a135,correlation_d2_a0,correlation_d2_a45,correlation_d2_a90,correlation_d2_a135,entropy_d1_a0,entropy_d1_a45,entropy_d1_a90,entropy_d1_a135,entropy_d2_a0,entropy_d2_a45,entropy_d2_a90,entropy_d2_a135
Albert (13).jpg,0.907365042,0.884883444,0.915259155,0.891396388,0.866505377,0.884883444,0.870828352,0.891396388,0.468442219,0.457898313,0.473473234,0.460067384,0.443507494,0.457898313,0.44818384,0.460067384,0.911686279,0.877016822,0.923412035,0.893910493,0.851229664,0.877016822,0.863187873,0.893910493,2.095769975,2.1835677,2.051167738,2.156892908,2.267988522,2.1835677,2.233946619,2.156892908
Albert (31).jpg,0.9080946,0.88826127,0.915259071,0.888533699,0.869454344,0.88826127,0.876412517,0.888533699,0.505133742,0.494664734,0.504688028,0.494721974,0.483105997,0.494664734,0.482726042,0.494721974,0.932169737,0.904285521,0.937099449,0.911652888,0.876914993,0.904285521,0.885005703,0.911652888,1.975721402,2.057557147,1.95816427,2.048366487,2.125598499,2.057557147,2.117782943,2.048366487
Ritter (3).jpg,0.893321032,0.857562402,0.87604432,0.859799484,0.859769777,0.857562402,0.824901158,0.859799484,0.394194932,0.373839949,0.38422096,0.375197601,0.37505507,0.373839949,0.353154154,0.375197601,0.937026291,0.909403886,0.926844691,0.907982727,0.899772906,0.909403886,0.877873364,0.907982727,2.293007114,2.423140466,2.351701504,2.420875508,2.43076508,2.423140466,2.544824667,2.420875508
Ritter (7).jpg,0.892246086,0.864385655,0.880660777,0.865988492,0.858202156,0.864385655,0.834725217,0.865988492,0.375846785,0.358023113,0.36460873,0.358833799,0.35648224,0.358023113,0.335351161,0.358833799,0.922243999,0.9000935,0.926669427,0.901419353,0.872618239,0.9000935,0.882438179,0.901419353,2.40467457,2.517522047,2.442063446,2.51209612,2.549043438,2.517522047,2.628416646,2.51209612
Ritter (25).jpg,0.947440444,0.914587464,0.931888726,0.923245866,0.911967649,0.914587464,0.886460795,0.923245866,0.472448148,0.447259567,0.45599338,0.452966717,0.449585126,0.447259567,0.422131329,0.452966717,0.955595375,0.927048048,0.948368149,0.934954967,0.910603159,0.927048048,0.903169082,0.934954967,1.935136473,2.09678166,2.016680867,2.059259562,2.11136297,2.09678166,2.222283998,2.059259562
Alvin (4).jpg,0.890986265,0.859737484,0.885437163,0.856564718,0.842291869,0.859737484,0.835676999,0.856564718,0.337728636,0.320964106,0.33376439,0.31818335,0.308719999,0.320964106,0.306672248,0.31818335,0.950438547,0.930883963,0.949397114,0.927837405,0.920474316,0.930883963,0.912929921,0.927837405,2.567457791,2.696471864,2.589526537,2.713588772,2.770896144,2.696471864,2.792036731,2.713588772
Alvin (17).jpg,0.903773457,0.878212886,0.891160122,0.873752279,0.863617443,0.878212886,0.844845997,0.873752279,0.406375413,0.391081247,0.399216358,0.38987309,0.382486047,0.391081247,0.369818668,0.38987309,0.930622855,0.890370381,0.901759649,0.881030319,0.886978265,0.890370381,0.834011831,0.881030319,2.314935729,2.422107769,2.37196631,2.449295978,2.482425876,2.422107769,2.568231741,2.449295978
Alvin (27).jpg,0.892208498,0.841904969,0.862620908,0.843282198,0.8409752,0.841904969,0.798860206,0.843282198,0.372759846,0.344474402,0.355044454,0.345624951,0.341442539,0.344474402,0.319490177,0.345624951,0.927879766,0.886583016,0.918282252,0.886794172,0.882429424,0.886583016,0.845642331,0.886794172,2.433219106,2.634671546,2.550098126,2.628014506,2.628742973,2.634671546,2.781956046,2.628014506
Alvin (28).jpg,0.890130926,0.841553661,0.86210037,0.840001835,0.835297653,0.841553661,0.794753146,0.840001835,0.374451333,0.346514589,0.358588294,0.346087736,0.341170614,0.346514589,0.322254645,0.346087736,0.932879975,0.894483331,0.915333722,0.892200937,0.889341354,0.894483331,0.843058366,0.892200937,2.416475461,2.604754513,2.524030803,2.611586522,2.618882251,2.604754513,2.765432861,2.611586522
Alvin (29).jpg,0.90606292,0.860248635,0.888937854,0.874645091,0.854360338,0.860248635,0.830471556,0.874645091,0.318493156,0.292914545,0.309147213,0.299989178,0.288642817,0.292914545,0.277761934,0.299989178,0.973632056,0.954006228,0.966018508,0.961931668,0.954352708,0.954006228,0.935469404,0.961931668,2.595926463,2.798638432,2.679678627,2.732228615,2.808651487,2.798638432,2.922736538,2.732228615
